"","2v2","3v3","4v4","5v5","6v6","7v7","8v8","9v9","10v10"
"assassin",-0.0216068376068376,-0.0199867521367521,0.00952735042735043,-0.0675785087719298,0.0562254385964912,0.0398368421052632,0.0155877192982456,-0.0752265765765766,0.0360578947368421
"bruiser",0.0138366666666667,-0.00857555555555556,0.0163061111111111,-0.002895,0.00389444444444444,-0.00314833333333333,-0.0238408045977011,0.036405,0.00948448275862069
"hybrid",-0.0392590643274854,-0.0114985380116959,0.00568976608187134,-0.0181948484848485,-0.0373093567251462,-0.065141049382716,-0.0320427272727273,-0.0280848214285714,-0.0376333333333333
"mage",-0.0468353535353535,-0.0286260942760943,-0.0198252525252525,-0.0230589225589226,-0.0478426116838488,-0.0270748299319728,-0.00555979381443299,0.0133534364261168,-0.0140285964912281
"marksman",0.0279529914529915,0.0625982905982906,-0.00878418803418803,0.0410469298245614,0.0682558558558558,0.0307311965811966,0.0699752136752137,0.0122399122807018,-0.011609649122807
"warrior",0.0552762152777778,0.0124260416666667,0.0449566666666667,0.0391733333333333,0.0269869791666667,0.0341763888888889,0.00355709219858156,0.0313609375,0.017571146953405
