"stage","size","mage","nonmage","within_tier_def","cor_tier_wr"
"2v2",2,0.529026666666667,0.497171534391534,-0.0106069413328441,0.555145794049622
"3v3",3,0.527176296296296,0.496812169312169,-0.0158368084872946,0.537619287908158
"4v4",4,0.534942222222222,0.495385555555556,-0.0139410417026389,0.499046885281407
"5v5",5,0.522885925925926,0.497668677248677,-0.0048678185883047,0.487206403210007
"6v6",6,0.513404074074074,0.499593386243386,0.00191074748553915,0.429792926259729
"7v7",7,0.521860740740741,0.499028253968254,-0.00899138468013468,0.462302595872505
"8v8",8,0.522297407407407,0.497937671957672,-0.0127589480272814,0.460261784446217
"9v9",9,0.513178518518518,0.498985608465608,0.00527906607024662,0.40609707681315
"10v10",10,0.518937407407407,0.497767513227513,-0.000952934850643202,0.457004897158522
