"","2v2","3v3","4v4","5v5","6v6","7v7","8v8","9v9","10v10"
"assassin",0.0236569444444444,0.0339131944444444,0.00714444444444444,-0.0114131944444444,0.0062125,-0.0134743055555556,-0.00647430555555556,-0.0139583333333333,-0.0144784722222222
"bruiser",-0.00152361111111111,0.0115611111111111,-0.00482546296296296,-0.00709675925925926,0.00120416666666667,-0.0132347222222222,-0.0317083333333333,-0.0221157407407407,-0.0109439814814815
"mage",0.00509555555555556,0.00209481481481481,0.020382962962963,0.0194544444444444,0.0163762962962963,0.0193677777777778,0.0115981481481481,0.0257848148148148,0.0132318518518519
"marksman",0.0244461111111111,0.0143116666666667,0.00877833333333333,0.00990277777777778,0.00107166666666667,0.0118811111111111,0.00918555555555555,0.009495,0.00577611111111111
"spellblade",-0.00235833333333333,0.00058,-0.007095,0.000297777777777778,-0.0158727777777778,-0.0109061111111111,-0.00422777777777778,-0.00455944444444444,-0.0199644444444444
"spellslinger",-0.0127277777777778,-0.0264930555555556,-0.0145194444444444,-0.0214701388888889,-0.0360833333333333,-0.0158222222222222,-0.00443472222222222,-0.0250673611111111,-0.00130833333333333
"support",-0.00275075757575758,0.00710833333333333,0.00214671717171717,0.0143914141414141,0.00408484848484848,0.0028209595959596,0.0144262626262626,0.0168426767676768,0.0106007575757576
"swashbuckler",0.0263865740740741,0.016600462962963,0.0140449074074074,-0.00527777777777778,0.00735092592592593,0.0180402777777778,0.00669259259259259,-0.0107842592592593,-0.0129657407407407
"tank",-0.0246067632850242,-0.0293065217391304,-0.014168115942029,-0.00860555555555556,0.00558333333333333,-0.00827995169082126,-0.00312028985507246,-0.000234299516908213,0.00354178743961353
