"","2v2","3v3","4v4","5v5","6v6","7v7","8v8","9v9","10v10"
"assassin",0.516819658119658,0.505279487179487,0.466609829059829,0.441492105263158,0.492689912280702,0.491905263157895,0.536419736842105,0.497748648648649,0.53232850877193
"bruiser",0.563792222222222,0.570363888888889,0.581230555555556,0.536947777777778,0.575436666666667,0.543121666666667,0.490692528735632,0.507915555555556,0.589944252873563
"hybrid",0.626793274853801,0.562026608187134,0.585476315789474,0.588500303030303,0.544470467836257,0.564073765432099,0.53726696969697,0.512473809523809,0.537202339181287
"mage",0.398354377104377,0.443850673400673,0.434345286195286,0.431611616161616,0.453799656357388,0.452752551020408,0.479596219931271,0.499055841924399,0.452423157894737
"marksman",0.494764102564103,0.49359188034188,0.532215811965812,0.53137850877193,0.522371171171171,0.497675641025641,0.524546153846154,0.540247807017544,0.494750877192982
"warrior",0.514509375,0.494188715277778,0.476369473684211,0.486320526315789,0.499619097222222,0.470681770833333,0.486760992907801,0.479322222222222,0.464587275985663
