"","2v2","3v3","4v4","5v5","6v6","7v7","8v8","9v9","10v10"
"assassin",0.0469944444444444,0.0668388888888889,0.0719034722222222,0.0783590277777778,0.0829902777777778,0.0813458333333333,0.0764645833333333,0.0870513888888889,0.0908666666666667
"bruiser",0.142116203703704,0.132225,0.110401388888889,0.100047222222222,0.0976986111111111,0.104024074074074,0.10435462962963,0.108856481481481,0.096800462962963
"mage",0.0561137037037037,0.0731337037037037,0.0533318518518519,0.0744244444444444,0.0742766666666667,0.0755437037037037,0.0805233333333333,0.0758240740740741,0.0669996296296296
"marksman",0.0477183333333333,0.0574983333333333,0.0539655555555556,0.0605616666666667,0.066415,0.07468,0.0649783333333333,0.0828333333333333,0.0695538888888889
"spellblade",0.0721577777777778,0.0638372222222222,0.0656527777777778,0.0807838888888889,0.0711233333333333,0.0724083333333333,0.0778016666666667,0.0865733333333333,0.0908922222222222
"spellslinger",0.0552340277777778,0.061825,0.0671277777777778,0.0651444444444444,0.0688604166666667,0.0800229166666667,0.0733375,0.0822930555555555,0.0729944444444444
"support",0.161911363636364,0.13982702020202,0.105093939393939,0.100438636363636,0.0985219696969697,0.0965522727272727,0.0940532828282828,0.104596717171717,0.0870348484848485
"swashbuckler",0.0550541666666667,0.076787037037037,0.0626560185185185,0.0711833333333333,0.0722402777777778,0.0747606481481481,0.0857388888888889,0.0780541666666667,0.069662962962963
"tank",0.19073115942029,0.168829468599034,0.127341304347826,0.12607922705314,0.122102415458937,0.114027777777778,0.109078260869565,0.117794685990338,0.102517874396135
