"affinity","clear","own","counter","own_minus_clear","own_minus_counter"
"mist",0.511573950484392,0.51345581270183,0.497848277717976,0.00188186221743813,0.0156075349838536
"cloudy",0.505569376391982,0.530345155902004,0.493595991091314,0.0247757795100223,0.0367491648106905
"rain",0.514527258320127,0.530374167987322,0.514788853671421,0.0158469096671949,0.0155853143159007
"snow",0.509440075512406,0.516180798274002,0.494605933117584,0.00674072276159654,0.0215748651564185
"thunder",0.490936457793889,0.510615587778353,0.495856706369757,0.019679129984464,0.0147588814085965
