"","1v1","2v2","3v3","4v4","5v5","6v6","7v7","8v8","9v9","10v10"
"mage",0.31518771043771,0.396690909090909,0.424610437710438,0.441828114478114,0.450869696969697,0.451144612794613,0.461203703703704,0.461490572390572,0.465672053872054,0.470079124579125
"warrior",0.534899652777778,0.510015972222222,0.498784895833333,0.497914583333333,0.495256597222222,0.501833159722222,0.499601909722222,0.490857986111111,0.506020138888889,0.495107465277778
"marksman",0.520971794871795,0.524498290598291,0.525411111111111,0.524300427350427,0.526660256410256,0.513427777777778,0.51112735042735,0.521581623931624,0.516833333333333,0.523430341880342
"assassin",0.528125641025641,0.501263675213675,0.498386752136752,0.480073931623932,0.482748717948718,0.497395726495726,0.48335811965812,0.495023504273504,0.480602564102564,0.487832478632479
"bruiser",0.59168,0.560640555555556,0.554468333333333,0.554581111111111,0.543505555555556,0.533619444444444,0.539935555555556,0.538558333333333,0.544302777777778,0.528031111111111
"hybrid",0.680378947368421,0.610442105263158,0.590047953216374,0.572451754385965,0.565218713450292,0.560296198830409,0.559060233918129,0.553828362573099,0.526573976608187,0.539265204678363
