"","2v2","3v3","4v4","5v5","6v6","7v7","8v8","9v9","10v10"
"assassin",0.130536752136752,0.163062820512821,0.280979914529915,0.311918421052632,0.298518421052632,0.367806140350877,0.3523,0.403903603603604,0.483441228070175
"bruiser",0.320239444444444,0.352193333333333,0.300542222222222,0.377984444444444,0.371074444444444,0.43217,0.50841724137931,0.371193333333333,0.397889655172414
"hybrid",0.119548538011696,0.199202339181287,0.207944152046784,0.289040303030303,0.255068713450292,0.377435802469136,0.350244848484848,0.399978273809524,0.405223391812865
"mage",0.160087878787879,0.184168181818182,0.197926767676768,0.248162962962963,0.290875257731959,0.37183537414966,0.406217697594502,0.414160652920962,0.448122631578947
"marksman",0.0783465811965812,0.109038461538462,0.176136752136752,0.256957894736842,0.270085585585586,0.400558974358974,0.379408547008547,0.353611842105263,0.403664473684211
"warrior",0.144777604166667,0.180920486111111,0.188647543859649,0.271477543859649,0.268488888888889,0.332382638888889,0.411741843971631,0.478830208333333,0.468999283154122
