"","2v2","3v3","4v4","5v5","6v6","7v7","8v8"
"mage",0.169159595959596,0.213094107744108,0.227078451178451,0.255872053872054,0.296535858585859,0.340415824915825,0.350100505050505
"warrior",0.150954513888889,0.205258680555556,0.2269359375,0.258685590277778,0.283449479166667,0.340861631944444,0.345091319444444
"marksman",0.082157264957265,0.133610256410256,0.172501709401709,0.21765811965812,0.24296452991453,0.311773504273504,0.306542735042735
"assassin",0.131423504273504,0.205849572649573,0.236479487179487,0.268970085470085,0.297657264957265,0.356701709401709,0.356440598290598
"bruiser",0.275405,0.309743888888889,0.316677777777778,0.34418,0.370535,0.424628888888889,0.409173888888889
"hybrid",0.119460526315789,0.197685380116959,0.215963742690058,0.252328070175439,0.275614035087719,0.332094152046784,0.334936842105263
