"","2v2","3v3","4v4","5v5","6v6","7v7","8v8"
"mage",-0.0500794612794613,-0.032256734006734,-0.0200742424242424,-0.0206752525252525,-0.0164025252525253,-0.0153156565656566,-0.0125789562289562
"warrior",0.0523,0.0366008680555556,0.026265625,0.0304142361111111,0.0255128472222222,0.0131854166666667,0.0182411458333333
"marksman",0.0345794871794872,0.0321790598290598,0.00463247863247863,0.0295367521367521,0.0227311965811966,0.0340478632478632,0.0239004273504274
"assassin",-3.84615384615449e-06,-0.00558034188034188,-0.000182051282051282,-0.0336623931623932,-0.0126200854700855,-0.0113435897435897,-0.0128106837606838
"bruiser",0.0177372222222222,0.00860777777777778,0.0264427777777778,0.0149911111111111,0.0180433333333333,0.0243411111111111,0.0137161111111111
"hybrid",-0.0319912280701754,-0.0378388888888889,-0.0252233918128655,-0.0235312865497076,-0.0268432748538012,-0.0262590643274854,-0.0232283625730994
