"","2v2","3v3","4v4","5v5","6v6","7v7","8v8","9v9","10v10"
"assassin",0.548554861111111,0.529134722222222,0.524245833333333,0.491395833333333,0.522606944444444,0.504609722222222,0.506622916666667,0.484795833333333,0.5154375
"bruiser",0.514231481481481,0.508408333333333,0.503764351851852,0.490551851851852,0.462798148148148,0.492508333333333,0.492361111111111,0.500275925925926,0.493455092592593
"mage",0.529026666666667,0.527176296296296,0.534942222222222,0.522885925925926,0.513404074074074,0.521860740740741,0.522297407407407,0.513178518518518,0.518937407407407
"marksman",0.587751666666667,0.565939444444444,0.556186666666667,0.553357222222222,0.544066666666667,0.543595,0.541799444444445,0.56147,0.574236666666667
"spellblade",0.610088333333333,0.599412777777778,0.57978,0.579102777777778,0.578496111111111,0.565824444444444,0.557706666666667,0.546506111111111,0.533462777777778
"spellslinger",0.50545,0.518158333333333,0.499416666666667,0.512978472222222,0.486765972222222,0.520779861111111,0.50455,0.513793055555556,0.501620138888889
"support",0.412515151515152,0.432750252525253,0.443068686868687,0.459721212121212,0.463324494949495,0.460810101010101,0.473932323232323,0.470884595959596,0.467647727272727
"swashbuckler",0.507401851851852,0.504564814814815,0.505104166666667,0.506311574074074,0.51199537037037,0.490149074074074,0.507707407407407,0.48785787037037,0.472876388888889
"tank",0.454679951690821,0.454662077294686,0.461416666666667,0.470408212560386,0.489827536231884,0.485693236714976,0.468333816425121,0.482954347826087,0.485561111111111
