"affinity","clear","own","counter","own_minus_clear","own_minus_counter"
"mist",0.521392211346174,0.526104325860436,0.506475928849595,0.00471211451426168,0.019628397010841
"cloudy",0.505141907423028,0.52412112505272,0.492355815056938,0.0189792176296921,0.0317653099957823
"rain",0.500209254215984,0.518518173248141,0.495760741594218,0.0183089190321566,0.0227574316539227
"snow",0.516200079927532,0.526911115255502,0.499202712207598,0.0107110353279694,0.0277084030479033
"thunder",0.496696805909587,0.51677693908339,0.489777386464132,0.0200801331738023,0.0269995526192582
