"","2v2","3v3","4v4","5v5","6v6","7v7","8v8"
"mage",0.399235858585859,0.426702693602694,0.446405555555556,0.448111784511785,0.451144612794613,0.461203703703704,0.460893097643098
"warrior",0.499915625,0.493376041666667,0.495531770833333,0.494318402777778,0.501833159722222,0.499601909722222,0.496197743055556
"marksman",0.519419658119658,0.51670641025641,0.517560256410256,0.508555128205128,0.513427777777778,0.51112735042735,0.51600641025641
"assassin",0.490343162393162,0.511704700854701,0.474064957264957,0.485127777777778,0.497395726495726,0.48335811965812,0.483082478632479
"bruiser",0.556833333333333,0.552815,0.579342777777778,0.561452777777778,0.533619444444444,0.539935555555556,0.536319444444444
"hybrid",0.624945029239766,0.5933,0.568581578947368,0.565968128654971,0.560296198830409,0.559060233918129,0.551888011695906
