"","1v1","2v2","3v3","4v4","5v5","6v6","7v7","8v8","9v9","10v10"
"mage",-0.100692255892256,-0.048263468013468,-0.0316823232323232,-0.0212011784511784,-0.0177867003367003,-0.0164025252525253,-0.0153156565656566,-0.00464242424242424,-0.0113218855218855,-0.00297845117845118
"warrior",0.0920868055555556,0.0467074652777778,0.0296196180555556,0.0214534722222222,0.0236039930555556,0.0255128472222222,0.0131854166666667,0.0132017361111111,0.0176211805555556,0.0196755208333333
"marksman",0.053242735042735,0.0412705128205128,0.0334576923076923,0.0291816239316239,0.0307115384615385,0.0227311965811966,0.0340478632478632,0.0168290598290598,0.0170606837606838,0.00310940170940171
"assassin",-0.00240128205128205,-0.0124264957264957,-0.00983675213675214,-0.0127470085470085,-0.0214166666666667,-0.0126200854700855,-0.0113435897435897,-0.0106119658119658,-0.0218264957264957,-0.0176846153846154
"bruiser",0.0316438888888889,0.0287088888888889,0.0212155555555556,0.0240477777777778,0.0186683333333333,0.0180433333333333,0.0243411111111111,0.00957944444444444,0.0260288888888889,0.0155566666666667
"hybrid",-0.0316394736842105,-0.029143567251462,-0.0227681286549708,-0.0245187134502924,-0.0242327485380117,-0.0268432748538012,-0.0262590643274854,-0.024122514619883,-0.0192233918128655,-0.0258888888888889
